case_id,repository_local_path,target_files
case_076,materialized/case_076,drivers/net/wireless/broadcom/brcm80211/brcmfmac/chip.c
case_077,materialized/case_077,drivers/usb/typec/tipd/core.c
case_078,materialized/case_078,drivers/net/wireless/mediatek/mt76/mt7925/mac.c
case_079,materialized/case_079,drivers/gpu/drm/bridge/cadence/cdns-mhdp8546-core.c;drivers/gpu/drm/bridge/cadence/cdns-mhdp8546-core.h;drivers/gpu/drm/bridge/cadence/cdns-mhdp8546-hdcp.c
case_080,materialized/case_080,drivers/net/ethernet/intel/ice/ice_vf_lib.c
case_081,materialized/case_081,net/batman-adv/bat_v_ogm.c
case_082,materialized/case_082,fs/smb/server/oplock.c
case_083,materialized/case_083,drivers/resctrl/mpam_devices.c
case_084,materialized/case_084,fs/btrfs/disk-io.c;fs/btrfs/transaction.c
case_085,materialized/case_085,drivers/reset/amlogic/reset-meson.c
case_086,materialized/case_086,drivers/net/ethernet/airoha/airoha_eth.c
case_087,materialized/case_087,net/bridge/netfilter/ebt_dnat.c;net/bridge/netfilter/ebt_redirect.c;net/netfilter/nfnetlink_log.c;net/netfilter/nfnetlink_queue.c
case_088,materialized/case_088,drivers/misc/fastrpc.c
case_089,materialized/case_089,drivers/gpio/gpio-mvebu.c
case_090,materialized/case_090,drivers/gpu/drm/amd/amdkfd/kfd_device_queue_manager.c
case_091,materialized/case_091,net/netfilter/nf_conntrack_sip.c;net/netfilter/nf_nat_sip.c
case_092,materialized/case_092,fs/smb/server/smb2pdu.c
case_093,materialized/case_093,drivers/net/wireless/ath/ath11k/mac.c
case_094,materialized/case_094,drivers/net/ethernet/mellanox/mlx5/core/en/xdp.c
case_095,materialized/case_095,block/blk-zoned.c
case_096,materialized/case_096,kernel/bpf/bpf_local_storage.c
case_097,materialized/case_097,net/vmw_vsock/virtio_transport_common.c
case_098,materialized/case_098,drivers/net/wireless/mediatek/mt76/dma.c
case_099,materialized/case_099,drivers/gpu/drm/v3d/v3d_sched.c
case_100,materialized/case_100,net/ipv4/netfilter/nft_fib_ipv4.c;net/ipv6/netfilter/nft_fib_ipv6.c;net/netfilter/nft_fib.c
case_101,materialized/case_101,ipc/util.c
case_102,materialized/case_102,drivers/net/tap.c
case_103,materialized/case_103,drivers/ptp/ptp_ocp.c
case_104,materialized/case_104,drivers/md/dm-cache-metadata.c
case_105,materialized/case_105,drivers/net/ethernet/broadcom/genet/bcmgenet.c
case_106,materialized/case_106,net/devlink/core.c
case_107,materialized/case_107,sound/soc/sti/uniperif_player.c
case_108,materialized/case_108,net/wireless/scan.c
case_109,materialized/case_109,drivers/cpufreq/amd-pstate.c
case_110,materialized/case_110,net/vmw_vsock/vmci_transport.c
case_111,materialized/case_111,include/net/sch_generic.h
case_112,materialized/case_112,net/bridge/netfilter/nft_meta_bridge.c
case_113,materialized/case_113,net/tls/tls.h;net/tls/tls_strp.c;net/tls/tls_sw.c
case_114,materialized/case_114,net/netfilter/nfnetlink_osf.c
case_115,materialized/case_115,drivers/staging/rtl8723bs/core/rtw_mlme.c
case_116,materialized/case_116,security/integrity/ima/ima_fs.c
case_117,materialized/case_117,arch/s390/kvm/interrupt.c;arch/s390/kvm/pci.c
case_118,materialized/case_118,net/bluetooth/mgmt.c
case_119,materialized/case_119,net/ceph/osdmap.c
case_120,materialized/case_120,drivers/soc/tegra/cbb/tegra234-cbb.c
case_121,materialized/case_121,net/sctp/diag.c
case_122,materialized/case_122,drivers/accel/ethosu/ethosu_gem.c
case_123,materialized/case_123,drivers/clk/microchip/clk-mpfs-ccc.c
case_124,materialized/case_124,kernel/bpf/hashtab.c
case_125,materialized/case_125,drivers/thunderbolt/xdomain.c
case_126,materialized/case_126,net/bridge/netfilter/ebtables.c
case_127,materialized/case_127,drivers/net/wireless/ath/ath5k/base.c
case_128,materialized/case_128,drivers/net/ethernet/mellanox/mlx5/core/eswitch.c;drivers/net/ethernet/mellanox/mlx5/core/vport.c;include/linux/mlx5/vport.h
case_129,materialized/case_129,fs/smb/client/smb2file.c
case_130,materialized/case_130,net/bluetooth/rfcomm/core.c
case_131,materialized/case_131,drivers/gpu/drm/amd/display/dc/resource/dcn315/dcn315_resource.c;drivers/gpu/drm/amd/display/dc/resource/dcn316/dcn316_resource.c;drivers/gpu/drm/amd/display/dc/resource/dcn32/dcn32_resource.c;drivers/gpu/drm/amd/display/dc/resource/dcn321/dcn321_resource.c;drivers/gpu/drm/amd/display/dc/resource/dcn35/dcn35_resource.c;drivers/gpu/drm/amd/display/dc/resource/dcn351/dcn351_resource.c
case_132,materialized/case_132,net/core/filter.c
case_133,materialized/case_133,drivers/usb/serial/io_ti.c
case_134,materialized/case_134,mm/vmalloc.c
case_135,materialized/case_135,drivers/gpu/drm/amd/display/dc/bios/bios_parser2.c
case_136,materialized/case_136,drivers/infiniband/core/uverbs_std_types_dmah.c
case_137,materialized/case_137,fs/ceph/xattr.c
case_138,materialized/case_138,drivers/gpu/drm/amd/amdkfd/kfd_mqd_manager_v11.c
case_139,materialized/case_139,net/sctp/sm_make_chunk.c
case_140,materialized/case_140,drivers/accel/ivpu/ivpu_fw_log.c
case_141,materialized/case_141,drivers/accel/ethosu/ethosu_gem.c
case_142,materialized/case_142,net/bluetooth/hci_sync.c
case_143,materialized/case_143,drivers/md/dm-log.c
case_144,materialized/case_144,net/batman-adv/fragmentation.c;net/batman-adv/types.h
case_145,materialized/case_145,net/netfilter/nf_nat_amanda.c;net/netfilter/nf_nat_sip.c
case_146,materialized/case_146,drivers/usb/serial/kl5kusb105.c
case_147,materialized/case_147,fs/adfs/super.c
case_148,materialized/case_148,net/xfrm/espintcp.c
